Artist,Title songs,Popularity,label
Jonas Brothers,Like It's Christmas,79,0
Steve Miller Band,Rock’n Me - Alternate Version 1,31,0
Christian Kane,LA Song,31,2
Frédéric Chopin,"Preludes, Op. 28: No. 8 in F-Sharp Minor",0,3
Rezan,Daye Megri,1,0
Fourtwnty,Kusut,57,2
Nicolette Larson,Rock-A-Bye (Mallory's Song),26,2
GRiZ,Juicy,58,4
Brad Paisley,New Favorite Memory,36,2
Stray Kids,The Tortoise and the Hare,60,4
Ariana Grande,God is a woman,81,4
George Strait,Write This Down,67,0
The Doors,Riders on the Storm,74,0
The Neighbourhood,Daddy Issues,87,4
Ray Charles,Hit the Road Jack,67,1
The Platters,Only You (And You Alone),67,2
XXXTENTACION,SAD!,85,0
Blues Traveler,Run-Around,66,0
Johann Sebastian Bach,"Violin Partita No. 2 in D Minor, BWV 1004: V. Chaconne",0,3
Ariana Grande,7 rings,86,2
Katy Perry,I Kissed A Girl,71,0
Boston,Rock & Roll Band,43,0
Beyoncé,Formation,74,0
Ledri Vula,Piano Rap,22,2
Avril Lavigne,Girlfriend,77,0
Helge Schneider,Klapperstrauss,27,0
Juice WRLD,Conversations,76,0
Bad Company,Live for the Music - 2017 Remaster,24,0
Dreamcatcher,Odd Eye,63,4
Rimar,Waktu Dan Perhatian,53,2
Whitesnake,Here I Go Again - 2018 Remaster,65,4
Endank Soekamti,We Are Fine,22,4
The Macarons Project,Unchained Melody,42,2
Ronnie Dunn,Heart Letting Go,33,2
Nat King Cole,When I Fall In Love - Remastered,0,2
Still Woozy,Goodie Bag,77,2
Naif,Mobil Balap,56,0
"Earth, Wind & Fire",Sing a Song,54,0
Lil Uzi Vert,7AM,75,1
REO Speedwagon,Music Man,17,0
12mé,Pour le rap,0,2
will.i.am,Scream & Shout,79,4
Acha Septriasa,Sampai Menutup Mata,58,2
Heart,Rockin' Heaven Down,19,4
21 Savage,Runnin,79,4
Grateful Dead,"Eyes of the World / Drums - Live at the Great American Music Hall, San Francisco, CA, August 13, 1975",26,2
Iyaz,Replay,73,4
Mariah Carey,Fantasy,76,0
TOMORROW X TOGETHER,Nap of a star,60,2
Bon Jovi,Wanted Dead Or Alive,75,4
Bob Seger,"Travelin' Man - Live At Cobo Hall, Detroit, Michigan/1975/Remastered 2011",23,4
Charley Crockett,Lies and Regret,38,2
The Macarons Project,New Light - Acoustic,44,2
Johann Sebastian Bach,"Herz und Mund und Tat und Leben, BWV 147: X. Jesu, Joy of Man's Desiring",0,3
ONE OK ROCK,Stand Out Fit In,63,4
Bryson Tiller,Next To You,64,0
Peterpan,Semua Tentang Kita,58,2
Rania,Demonstrate - Rap Version,29,0
blackbear,do re mi,75,4
Music Travel Love,Perfect (Live from Gasparilla Island),53,2
Kanye West,Off The Grid,82,0
Big Sean,Beware,75,4
Kygo,Undeniable (feat. X Ambassadors),79,4
Gwen Stefani,The Sweet Escape,72,0
Ella Fitzgerald,Jingle Bells,54,1
The Doobie Brothers,Listen to the Music,76,0
Neil Sedaka,Crying My Heart Out for You,32,2
Fitz and The Tantrums,HandClap,67,0
EST Gee,Special Remix (feat. Moneybagg Yo),62,4
Blue Öyster Cult,Burnin' for You - Live,13,1
The Band,"The Weight - Live At The Academy Of Music, New York, 1971 / Remastered 2001",20,1
Nitty Gritty Dirt Band,Grand Ole Opry Song,25,2
38 Special,Hold On Loosely,18,0
Eddie Money,Rock and Roll the Place,23,0
The Soggy Bottom Boys,I Am A Man Of Constant Sorrow - Radio Edit,38,2
Bronze,O Preço,8,0
Chet Baker,But Not For Me - Vocal Version,60,2
TWICE,SCIENTIST,82,0
Wolfgang Amadeus Mozart,"Flute Concerto in D Major, K. 314: II. Adagio non troppo",0,3
Charley Pride,Make Me One More Memory,28,0
Meghan Patrick,The Bad Guy,42,4
Joe Nichols,Tequila Makes Her Clothes Fall Off,69,0
Wolfgang Amadeus Mozart,"Piano Sonata No. 8 in A Minor, K. 310: II. Andante cantabile, con espressione",0,3
Johann Sebastian Bach,"Cello Suite No. 2 in D Minor, BWV 1008: VII. Gigue",0,3
Polo G,Go Stupid,75,0
NIKI,Newsflash!,54,4
BTS,Inner Child,72,4
Ari Lasso,Aku Dan Dirimu (feat. Bunga Citra Lestari),51,2
The Notorious B.I.G.,Hypnotize - 2014 Remaster,79,0
Bruno Mars,Runaway Baby,3,0
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Four - For New Year's Day: No. 38 Rezitativ: ""Immanuel, o süßes Wort"" Arioso (Chor-Sopran, Baß): ""Jesu, du mein liebstes Leben""-""Komm ich will dich mit Lust umfassen""",0,2
Raperin,Serxweş,9,2
Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),81,2
BTS,ON,77,4
LouiVos,Spook,4,0
Shawn Mendes,Wonder,77,4
Daya,"Sit Still, Look Pretty",73,0
Dua Lipa,We're Good,0,0
Monsta X,FANTASIA,59,0
2KBABY,Like This,66,0
Harry Chapin,Remember When the Music (Reprise),20,2
EVERGLOW,Pirate,65,4
Ramsey Lewis Trio,Here Comes Santa Claus,58,3
The Mamas & The Papas,California Dreamin',14,1
Arsy Widianto,Dengan Caraku,61,2
Ten2Five,Tokecang,15,0
Maddie & Tae,People Need People,36,2
Alf Wardhana,Rainy Days,50,2
Obie Hans,Curious Shadows,55,3
Adhitia Sofyan,Blue Sky Collapse,49,2
BTS,Dimple,70,0
Michael Bublé,When I Fall in Love,60,2
Vince Guaraldi Trio,Thanksgiving Theme,63,3
Gabber Modus Operandi,Sangkakala,30,4
Taylor Swift,Come Back...Be Here (Taylor's Version),80,4
Elvin Bishop,Fooled Around And Fell In Love,59,0
Twenty One Pilots,Heathens,82,0
Hollywood Undead,Undead,66,4
Last Child,Pedih,58,2
Kanye West,Gold Digger,78,0
Johnny Cash,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",29,1
Naif,Piknik '72,58,0
Kenny Loggins,Footloose,70,4
38 Special,Comin Down Tonight,25,0
Ella Fitzgerald,"Bewitched, Bothered, And Bewildered",58,2
NIKI,Vintage,41,4
Tulus,Tukar Jiwa,63,2
GANGGA,Waiting For You,48,2
Galdive,Maybe I,44,2
OneRepublic,I Lived,67,4
3 Doors Down,When I'm Gone,70,4
ATEEZ,Fireworks (I'm The One),69,0
SEVENTEEN,HOME;RUN,65,0
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",70,0
Bruno Mars,Skate,77,0
REO Speedwagon,Can't Fight This Feeling,73,4
TOMORROW X TOGETHER,What if I had been that PUMA,60,0
Queen Naija,Medicine,70,4
Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",65,3
Badfinger,Come And Get It - Remastered 2010,56,0
NCT,The 7th Sense,63,4
Boombastic,Bye Bye Baby,0,4
NOVAKANE,My Favourite Position,45,2
Electric Light Orchestra,Rockaria! - Live at Wembley Stadium,29,1
Staind,It's Been Awhile,68,4
The Dave Brubeck Quartet,Blue Rondo à la Turk,52,2
Michael Bublé,Let It Snow! - 10th Anniversary,72,2
The Neighbourhood,Wires,72,4
Conan Gray,Maniac,83,4
BTS,Spring Day,76,4
Tech N9ne Collabos,Dysfunctional,65,1
Stray Kids,ALL IN,61,0
BTS,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],65,0
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),76,4
Joey + Rory,Let It Be Me,39,2
Justin Bieber,Christmas Eve,5,2
The Cure,Just like Heaven,67,0
Grateful Dead,"The Music Never Stopped - Live February, 1978",26,1
Ramsey Lewis Trio,Christmas Blues,55,0
Kendrick Lamar,LOVE. FEAT. ZACARI.,80,0
Kitty Wells,Searching (For Someone Like You),28,2
Eddie Rabbitt,Drinkin' My Baby (Off My Mind) - 2008 Remaster,20,0
blink-182,What's My Age Again?,77,4
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,72,0
Kehlani,Can I,69,0
Glen Campbell,The Hand That Rocks The Cradle,29,0
Willie Nelson,Nothing I Can Do About It Now,38,0
Niall Horan,Black And White,76,4
Lil Peep,Save That Shit,80,4
Alien Ant Farm,Smooth Criminal,77,0
Waylon Jennings,Nashville Wimmin,23,0
Alva Gracia,Under the Moon,29,0
HEIZE,"You, Clouds, Rain",60,2
fun.,We Are Young (feat. Janelle Monáe),74,0
Kos Atos,Kami Cinta Indonesia,0,1
REO Speedwagon,Rock 'N Roll Star,29,0
Krizz Kaliko,Ti**ies,57,4
Steven & Coconuttreez,Welcome to My Paradise,58,0
Kiyoi & Eky,Away From Home,38,1
BLACKPINK,DDU-DU DDU-DU - Remix,61,0
Ed Sheeran,Happier - Tiësto’s AFTR:HRS Remix,0,4
Loverboy,Lucky Ones,21,4
Music Travel Love,Hero (Acoustic),51,2
TOMORROW X TOGETHER,9 and Three Quarters - Run Away,71,4
Homicide (Indonesia),Intro,14,1
BLACKPINK,PLAYING WITH FIRE,75,0
Lady Gaga,Rain On Me (with Ariana Grande),79,0
Jackson Wang,TITANIC (feat. Rich Brian),58,0
Black Sabbath,Paranoid - 2012 - Remaster,71,4
Jesse Lee,Kissin' In Cars,25,4
Adele,Turning Tables,73,2
Niall Horan,Slow Hands,78,0
Papa Roach,Last Resort,82,0
Kitty Wells,A Woman Half My Age,23,2
5 Seconds of Summer,She's Kinda Hot,71,0
Grateful Dead,"Sugaree - Live at the Great American Music Hall, San Francisco, CA, August 13, 1975",23,2
Adele,Oh My God,93,0
Allman Brothers Band,Rockin' Horse,12,4
JIMIN,Good Start 2015,19,0
Wolfgang Amadeus Mozart,"Piano Concerto No. 23 in A Major, K. 488: I. Allegro",7,3
Kodak Black,No Flockin',73,0
EST Gee,Misery Loves Company,32,4
Little Feat,Rock And Roll Doctor - Live,12,1
Ella Fitzgerald,They Can't Take That Away From Me,0,2
Ariana Grande,Dangerous Woman,69,4
David Crosby,Music Is Love,46,4
Justin Bieber,Love Yourself,84,2
Issam Alnajjar,Leil Wara Leil,30,0
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",80,4
Yura Yunita,Harus Bahagia,59,0
Wings,Venus And Mars/Rockshow - Single Edit,24,4
Atlanta Rhythm Section,Everybody Gotta Go,18,2
Wolfgang Amadeus Mozart,"Idomeneo, K. 366 Act I Scene II-III: Aria, Non ho colpa (Idamante)",0,2
Alabama,Green River,19,0
Rainbow Kitten Surprise,It's Called: Freefall,68,2
Galdive,Mundane,34,2
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),77,4
Mohamed AlSalim,Habbab Rapid,4,0
Souljah,Satu Frekuensi,13,0
Kansas,Dust in the Wind,78,2
Edvard Grieg,"Lyric Pieces, Book 5, Op. 54: Nocturne",62,3
Geekssmile,Baton Takedown,0,4
Slank,Indonesia WOW,11,0
Homicide (Indonesia),Siti Jenar Cypher Drive,23,4
Gas Lab,Radiant,55,3
NCT 127,Pilot,56,0
Rihanna,Pon de Replay,79,4
NIKI,Pandemonium,38,2
Apink,Dumhdurum,62,0
Willie Nelson,Pick Up The Tempo,33,1
Taeko Onuki,4:00A.M.,73,0
The Rose,Insomnia,59,2
Norah Jones,Those Sweet Words,62,2
Grezia Epiphania,Walau Ku Tak Dapat Melihat,52,2
Christopher Colman,The Ultimate Gift,59,3
The Statler Brothers,Leaning On The Everlasting Arms,29,1
Traffic,Rock And Roll Stew Parts 1 & 2 - Single Version,9,0
Koralle,Black Cat,58,0
Modest Mouse,Float On,72,0
SZA,Good Days,85,1
Waylon Jennings,It's Alright,21,0
Norah Jones,Sunrise,72,2
Justin Bieber,Christmas Love,2,2
LeeHi,H.S.K.T. (feat. Wonstein),60,4
The Naked And Famous,Young Blood,69,1
BAEKHYUN,Bambi,69,2
pH-1,Homebody,57,2
Natasha Midori,Still,48,2
Autodepth,Thoughts,38,1
NCT DREAM,BOOM,68,0
Rich Brian,Introvert (feat. Joji),61,0
Kansas,Carry on Wayward Son,22,1
BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],61,0
Lil Uzi Vert,Sanguine Paradise,75,4
Wolfgang Amadeus Mozart,"12 Variations on ""Ah vous dirai-je, maman"", K. 265: Var. III",2,3
Lil Mosey,Noticed,77,2
Juice WRLD,Reminds Me Of You,76,4
Miguel,Sky Walker (feat. Travis Scott),75,4
Louis Armstrong,Mack the Knife,59,2
My Chemical Romance,I'm Not Okay (I Promise),76,4
Dean Martin,A Marshmallow World,66,2
Stevie Nicks,Talk to Me,46,0
Maroon 5,Animals,81,1
Roo'RA,Rap Hop,1,4
Phoebe Snow,Poetry Man,49,2
Wolfgang Amadeus Mozart,"12 Variations on ""Ah vous dirai-je, maman"", K. 265: I. Thema",2,3
Zainal Abidin,Senang-senang,0,0
Mike Mohede,Sahabat Jadi Cinta,55,2
Mo-Torres,Endlich wieder Rap,6,4
Bay City Rollers,Rock and Roll Love Letter,26,0
Yennu Ariendra,Raja Kirik (Dog King),31,3
Juice WRLD,Blood On My Jeans,74,0
Bad Company,Feel Like Makin' Love - Live At Red Rocks,20,1
Pee Wee Gaskins,Sebuah Rahasia,57,4
Jhené Aiko,P*$$Y Fairy (OTW),72,2
Bowling For Soup,1985,73,0
Paul Simon,Loves Me Like a Rock (with The Jessy Dixon Singers & Urubamba) - Live 1973,17,1
Mahen,Pura Pura Lupa,55,2
John Denver,"The Music Is You - Live at the Universal Amphitheatre, Los Angeles, CA - August/September 1974",20,1
Brad Mehldau,The Folks Who Live on the Hill - Live,51,3
TAEMIN,MOVE,66,0
Efek Rumah Kaca,Sebelah Mata,55,4
Henry Lindon,First Season,58,3
Nat King Cole,The First Noel,57,2
Hasan Yıldırım,Airs de danses rapides teke zortlatmasi,0,2
Gergasi Api,The Flames That We Shared,0,4
Stray Kids,"Surfin’ (Lee Know, Changbin, Felix)",67,0
Glenn Fredly,Januari,41,4
John Hiatt,Rock Back Billy,12,0
Raperin,Hevi - Umut,11,2
Prince,When Doves Cry,71,0
SEVENTEEN,PANG!,66,0
Halsey,Gasoline,73,4
Vern Gosdin,Dim Lights Thick Smoke and Loud Loud Music,16,2
Charley Pride,The Same Eyes That Always Drove Me Crazy,31,0
Rex Orange County,Sunflower,79,1
Red Velvet,Power Up,62,0
Drake,You Only Live Twice (with Lil Wayne & Rick Ross),75,0
The Lenny Ryan Trio,Con Alba,60,3
TWICE,I CAN'T STOP ME - English Version,60,0
Stray Kids,Back Door,75,0
Martin Garrix,Scared to Be Lonely,79,4
Trey Lewis,Dicked Down in Dallas,72,4
Jackson Wang,Drive You Home,66,4
Harry Styles,Watermelon Sugar,90,0
Meek Mill,Hot (feat. Moneybagg Yo),77,4
Kerispatih,Kejujuran Hati,52,2
Isyana Sarasvati,Tetap Dalam Jiwa,57,2
Charley Crockett,Hanger On,36,2
D.O.,That's okay,65,2
Parov Stelar,Booty Swing,64,0
Creed,Higher,71,4
John Mellencamp,Jack & Diane,74,0
Third Eye Blind,Semi-Charmed Life,75,0
BTS,Euphoria,80,0
D.O.,I'm Gonna Love You,71,2
Oslo Ibrahim,You Made Me Smile,48,4
Grouplove,Tongue Tied,81,4
Alva Gracia,One Night,48,4
Queen,Under Pressure - Remastered 2011,71,2
j-hope,Daydream (백일몽),70,0
Grateful Dead,The Music Never Stopped - 2013 Remaster,35,2
Glen Campbell,Southern Nights,70,1
Dr. Dre,Forgot About Dre,77,0
Mustard,Pure Water (with Migos),78,4
Tim McGraw,Country And Western,19,0
Bob Seger,American Storm,33,0
Dr. Dre,Still D.R.E.,82,0
Troye Sivan,Easy (with Kacey Musgraves feat. Mark Ronson),71,4
Beyoncé,If I Were a Boy,68,4
"Crosby, Stills & Nash",Woodstock,23,1
T-Pain,I Like Dat,73,4
38 Special,Just Wanna Rock & Roll,11,0
Bob Seger,Old Time Rock And Roll - Live/Remastered,34,1
TOMORROW X TOGETHER,Drama,59,0
Ludovico Einaudi,Una mattina,0,3
John Hartford,Gentle On My Mind,39,2
LambC,Love like that,57,0
Jon Pardi,Tequila Little Time,71,0
George Thorogood & The Destroyers,I Drink Alone,26,0
Hyolyn,My Love,21,2
Alesso,Midnight (feat. Liam Payne),73,4
Helge Schneider,Sex Machine - Remastered,6,2
Lloyd,All I Need,76,4
Tyga,Taste (feat. Offset),76,4
Kitty Wells,It Wasn't God Who Made Honky Tonk Angels,52,2
Elephant Kind,Better Days,50,0
Madeleine Peyroux,(Getting Some) Fun out of Life,60,2
Grand Funk Railroad,Footstompin' Music - Live/1975 / Remastered 1999,20,1
Saint Motel,Sweet Talk,68,0
Tom Petty and the Heartbreakers,Zero From Outer Space,27,0
Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),77,4
Van Halen,Panama - 2015 Remaster,73,4
Connie Francis,You're Gonna Miss Me,58,2
Marcin Wasilewski,Ballad Of The Sad Young Men,57,3
Issam Alnajjar,Taawadt Aleiki,31,0
Perry Como,Magic Moments,60,2
Tulus,Ingkar,60,2
Bryan Adams,"Somebody - Live At Rock Werchter, Belgium/1988",22,1
WONHO,Open Mind,57,0
Garrett Hedlund,Hide Me Babe,39,2
MALIQ & D'Essentials,Senja Teduh Pelita,61,2
Vince Guaraldi Trio,Christmas Time Is Here - Instrumental,69,3
Wolfgang Amadeus Mozart,"Idomeneo, K. 366, Act III: Ballo delle donne Cretesi, Gavotte",0,2
The Headliner Trio,"I’m Sentimental, After All",62,3
Rich Brian,Amen,48,0
Louis Armstrong,"'Zat You, Santa Claus? - Single Version",66,2
Bad Company,Rock 'n' Roll Fantasy - 2019 Remaster,15,0
Usher,My Boo,78,0
Kenny Loggins,"Danger Zone - From ""Top Gun"" Original Soundtrack",73,0
Red Velvet,Queendom,77,0
Colicchie,Music Saved My Life,18,0
Pitbull,Time of Our Lives,81,1
Charley Crockett,I Need Your Love,52,2
Noni,I Don't Know You,54,2
Perry Como,And I Love You So,60,3
April Wine,I Wouldn't Want to Lose Your Love,15,2
Joel Corry,Head & Heart (feat. MNEK),85,0
Sum 41,In Too Deep,75,0
Bob Seger,Mainstreet - Remastered,31,4
Alec Benjamin,Water Fountain,82,0
Peter Frampton,Show Me The Way,70,0
TOMORROW X TOGETHER,20cm,62,0
aespa,Next Level,80,0
Mindless Self Indulgence,Molly,70,0
NIKI,Pools,46,4
MAMAMOO,Dingga,67,0
The Fray,How to Save a Life,81,4
Drake,Headlines,75,4
Lord Echo,The Sweetest Meditation,62,0
Creedence Clearwater Revival,Keep On Chooglin’ - Live At The Woodstock Music & Art Fair / 1969,35,4
Bob Seger,Rock And Roll Never Forgets,22,0
Bruno Mars,After Last Night (with Thundercat & Bootsy Collins),80,0
Chet Baker,It's Always You - Vocal Version,61,2
Carrie Underwood,The Sound of Music,16,2
Laudr8,Rumors (Nightcore Remix),29,0
Gugun Power Trio,Vixen Eyes,34,0
"Tyler, The Creator",BEST INTEREST,76,4
Stevie Nicks,Edge of Seventeen,71,0
Glenn Fredly,Kisah Romantis,52,0
Semisonic,Closing Time,73,4
The Hold Steady,The Bear And the Maiden Fair,39,0
Akshay Badamane,Heightu Aaradi,0,0
half•alive,still feel.,69,0
ØDYSSEE,Dragonfly,56,3
Hudson Harris & Haim,Body & Soul,60,3
Sasha Alex Sloan,Dancing With Your Ghost,81,2
Raperin,Gul û Xwîn,10,2
GANGGA,This Love Will Never End,47,2
The Naked And Famous,Punching In A Dream,64,4
Taylor Swift,Our Song,70,0
San E,Best Workout Song (feat. BE'O),21,0
TREASURE,BOY,63,0
Playboi Carti,Shoota (feat. Lil Uzi Vert),81,4
Doja Cat,Boss Bitch,82,0
YB,Hello Goodbye,58,2
Bad Company,Live For The Music - Live At Red Rocks,19,1
Johann Sebastian Bach,"English Suite No. 6 in D Minor, BWV 811: V. Gavotte 1 & 2",0,2
Eddie Money,Wanna Be a Rock 'n' Roll Star,25,0
Daryl Hall & John Oates,One on One,18,2
Kendrick Lamar,DNA.,79,4
Seals and Crofts,Summer Breeze,19,2
Johann Sebastian Bach,"Suite in E Minor, BWV 996: VI. Gigue",0,3
REO Speedwagon,Son Of A Poor Man - Original Kevin Cronin Vocal - 1980 Mix,13,0
Third Eye Blind,Jumper - 1998 Edit,68,0
Norah Jones,Don't Know Why,62,2
Rich Brian,Confetti,47,4
Pete Rock,Grown Man Sport,63,0
ScHoolboy Q,Collard Greens,83,0
Katy Perry,Hot N Cold,69,0
Panic! At The Disco,High Hopes,82,0
Letto,Sebelum Cahaya,54,2
Robin Thicke,Blurred Lines,76,0
Nelly Furtado,Promiscuous,83,0
Yot Club,YKWIM?,85,3
Jelly Roll,Lose Your Soul,36,2
Olivia Rodrigo,hope ur ok,79,2
The Mavericks,Something Stupid,37,2
Ólafur Arnalds,Saudade (When We Are Born),68,3
Wolfgang Amadeus Mozart,"Variations for Piano on ""Ah, Vous dirai-je Maman"", K. 265",1,3
April Wine,I Like To Rock - Remastered,19,0
Naif,Benci Untuk Mencinta,68,2
Norah Jones,What Am I To You?,63,2
Lady Gaga,Paparazzi,68,4
Wax Tailor,Que Sera,61,4
Ten2Five,Gundul-Gundul Pacul,4,0
Chris Young,I'm Comin' Over,68,4
Ted Nugent,Where Ya Gonna Run to Get Away from Yourself,24,0
Perry Como,O Holy Night - 1968 Version,60,2
Eyedress,Something About You,78,0
Joey Alexander,Peace,47,3
Billie Eilish,everything i wanted,83,3
Powfu,death bed (coffee for your head),86,1
Cokelat,Karma,54,4
Rizky Febian,Terlukis Indah,74,2
Jake Owen,Footlights - Live,20,1
GFRIEND,MAGO,71,0
Claus Waidtløw,Largo,55,2
Danilla,Senja Di Ambang Pilu,53,2
Pieter Embrechts,Turnhoutsebaanrap - nog een rap van Liliane,1,2
Taylor Swift,Wildest Dreams,75,4
Grateful Dead,The Music Never Stopped - 2015 Remaster,22,2
The Band,Rockin’ Chair - A Cappella / Stripped Down,14,2
Sammy Hagar,Rock and Roll (Live),16,1
Liana Flores,rises the moon,77,2
Chicago,Wishing You Were Here (Single Version),11,2
Susan Tedeschi,The Feeling Music Brings - Live,25,1
Sonny Clark,"Gee Baby, Ain't I Good To You",56,3
Lewis Capaldi,Someone You Loved,88,2
Harry James,All Or Nothing At All,57,2
Ten2Five,RASA SAYANGE,0,0
Wanna One,Energetic,63,0
Harry James,"It's Been a Long, Long Time",63,2
Jessi,My Type,25,4
Bob Seger,Wait For Me,36,4
Peterpan,Mimpi Yang Sempurna,56,4
The Moody Blues,Tuesday Afternoon (Forever Afternoon) - Live At Red Rocks/1992,14,2
Rick Springfield,Rock of Life,12,0
Kenny Rogers,The Rock of Your Love,18,2
Bachman-Turner Overdrive,Rock Is My Life - Live,17,1
Natasha Midori,Worthy Is the Lamb,44,4
Rich Brian,BALI,45,0
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),64,0
Eric Church,Tennessee Jed - Live,19,1
Eric Carmen,That's Rock 'n Roll,30,0
WJSN,UNNATURAL,60,0
Phillip Phillips,"Gone, Gone, Gone",69,4
Willie Nelson,Mamas Don't Let Your Babies Grow Up To Be Cowboys,24,2
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Four - For New Year's Day: No. 41 Aria: ""Ich will nur dir zu Ehren leben""",0,2
Jimi Hendrix,Purple Haze,72,4
April Wine,You Won't Dance with Me,20,0
Vierra,Bersamamu,54,2
The Band,The Weight - Remastered,15,0
IU,Through the Night,66,2
Dr. John,Curious George Theme Song,35,0
iKON,KILLING ME,63,2
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Three - For The Third Day Of Christmas: No. 29 Duett: ""Herr, dein Mitleid, dein Erbarmen""",0,2
Mc Kresha,Nuk O' faji Jem,28,0
The Black Crowes,Black Moon Creeping,33,0
Bryson Tiller,I'm Ready For You,56,0
Lil Nas X,SCOOP (feat. Doja Cat),82,0
Bryson Tiller,Sorry Not Sorry,65,4
"Crosby, Stills & Nash",The Pretender (with Jackson Browne),19,1
AJR,Way Less Sad,67,4
BTS,DNA,72,0
5 Seconds of Summer,Ghost Of You,79,4
Bryson Tiller,7:00,63,4
YNW Melly,Suicidal (Remix) [feat. Juice WRLD],77,2
"Crosby, Stills & Nash",Mexico (with James Taylor),13,1
Buckcherry,Crazy Bitch,69,0
Ted Nugent,Sunrize,24,3
The Band,We Can Talk - Remastered,37,0
The Struts,Could Have Been Me,69,4
Rihanna,Take A Bow,77,0
Bryson Tiller,presents (feat. Kiana Ledé),66,4
Dexter Gordon,(It Will Have To Do) Until The Real Thing Comes Along - Remastered,55,2
Wolfgang Amadeus Mozart,"Concerto For Flute, Harp, And Orchestra In C Major, K.299: 2. Andantino",0,3
Mac Miller,The Spins,82,0
Arash Buana,i'll be friends with you - phone recorded,61,2
Bruno Mars,Finesse - Remix; feat. Cardi B,75,0
Sean Paul,Temperature,80,0
Doja Cat,So High,68,0
Norah Jones,Shoot The Moon,60,2
LouiVos,Gangland,5,0
DJ Khaled,I'm On One,70,1
The Drums,Money,65,4
Demi Lovato,Confident,73,4
Once Mekel,Dealova,56,4
Jaz,Dari Mata,56,0
Rendy Pandugo,MR. SUN,2,2
JKT48,Heavy Rotation,52,4
The Doobie Brothers,Rockin' Down the Highway,45,0
Johann Sebastian Bach,"Partita No. 3 in E Major, BWV 1006: III. Gavotte en rondeau",0,2
Dead Bachelors,Two Bottles of Wine,47,0
The Macarons Project,Edelweiss,41,2
Tom Petty and the Heartbreakers,American Girl - Live,13,1
Younha,기억 - Rap Mix Version,17,4
Galdive,Story Ends,32,2
EXO-K,Overdose,62,0
(G)I-DLE,Senorita,61,4
The Band,"This Wheel's On Fire - Live At The Academy Of Music, New York, 1971 / Remastered 2001",18,1
Dua Lipa,Break My Heart,80,4
TWICE,BETTER,62,0
Bruno Mars,That's What I Like,83,0
Jason Derulo,Want to Want Me,76,0
Helge Schneider,Orientalische Sonate - Remastered,2,0
Katy Perry,Harleys In Hawaii,81,0
Chuck Berry,Run Rudolph Run - Single Version,80,2
girl in red,we fell in love in october,85,4
Sting,Desert Rose,36,4
SEVENTEEN,Mansae,60,0
A Great Big World,Say Something,76,2
The Carter Family,Wildwood Flower,41,2
Gramatik,Muy Tranquilo,62,0
Perry Como,(There's No Place Like) Home for the Holidays - 1959 Version,71,2
Tom Petty and the Heartbreakers,Anything That's Rock 'n' Roll,43,0
Olivia O'Brien,Josslyn,71,1
Judika,Bagaimana Kalau Aku Tidak Baik Baik Saja,61,2
Sheila On 7,Dan...,65,0
DJ Snake,Run It (feat. Rick Ross & Rich Brian),72,4
Future,Low Life (feat. The Weeknd),75,4
Jeremih,Birthday Sex,68,4
A Boogie Wit da Hoodie,My Shit,79,0
Avril Lavigne,What the Hell,76,0
LMFAO,Party Rock Anthem,69,4
Brad Paisley,One of Those Lives,28,4
Letto,Permintaan Hati,52,4
Travis Scott,Goosebumps - Remix,85,0
Miguel,Come Through and Chill (feat. J. Cole & Salaam Remi),71,0
Willie Nelson,A Horse Called Music,26,2
Rod Stewart,Still The Same,39,0
3 Doors Down,Kryptonite,80,4
Paul Kim,Me After You,63,2
JEON SOMI,DUMB DUMB,70,4
Don Williams,I Just Come Here For The Music,34,2
B.J. Thomas,Rock and Roll Lullaby - Rerecorded,49,2
Alif Satar,Setiap Hari - With Rap Version,11,0
Diana Krall,Let's Fall In Love,61,2
Iwan Fals,Aku Bukan Pilihan,54,2
NCT U,90's Love,56,0
.Feast,Peradaban,58,1
Major Lazer,Cold Water,69,4
Stan Getz,I Didn't Know What Time It Was,56,2
Frank Ocean,Chanel,80,2
Robert Earl Keen,Let The Music Play,23,2
BLACKPINK,You Never Know,66,4
Arctic Monkeys,Why'd You Only Call Me When You're High?,86,0
Gunna,Too Easy,83,4
JPCC Worship,Bejana-Mu,53,2
Justin Timberlake,Rock Your Body,78,0
David Guetta,Flames,1,4
Molly Hatchet,Sharp Dressed Man,22,4
The Jets,Rockabilly Baby,21,0
